UserName,FollowsCount
vphill,636
amazingmap,19651
JanaeJackson__,15
TerribleMaps,921
ujwlkarn,745
fromADMwithlove,471
OpenMaze,79
fanchyna,135
storygraphbot,1
ODU,325
Discovery,453
SyrupType,330
vinaygo,272
NatGeoPhotos,131
NatGeo,55
BelaGipp,237
anne_lauscher,54
justin_littman,114
BreitingerC,236
TVNewsArchive,905
PlinioHVargas,70
grantcatkins,254
maturban1,134
mir_smi,274
clancynewyork,1312
ZachTanZM,163
MachinePix,46
femalegazebot,1058
DamolaMore,629
EbenezarWikina,3326
Radiolab,1090
effodu,1516
katestarbird,2852
scientiffic,296
meangrape,4547
johnaberlin,537
whatbrett,740
3blue1brown,255
oducs,88
b0rk,550
stanfordnlp,101
webrecorder_io,138
ThingsWork,3
tweetsauce,961
internetarchive,593
jessogden,1874
localmem,1
helgeho,163
ssfrug,445
mzagaja,582
walkeroh,987
AcademiaObscura,150
BergisJules,1160
documentnow,374
docmattweber,2420
Moha_Magdy,1903
edsu,3570
e_mccain,1130
ncasemajor,461
BKCHarvard,3398
MIT_CSAIL,13601
muira_mccammon,2993
HistoryInPics,266
HarvardLIL,559
zittrain,6652
abziegler,1448
shawnmjones,615
this_phillips,813
moffattchristie,313
machawk1,409
ibnesayeed,354
ruebot,969
f_nanni,329
srocheleau,401
anjacks0n,1047
pj_webster,3555
nullhandle,435
KatherineRCook,2051
jeremyw,900
lintool,737
ianmilligan1,1855
hvdsomp,426
icanhazmemento,1
_wdill,0
yasmina_anwar,414
mart1nkle1n,881
justinfbrunelle,208
weiglemc,209
ScottGAinsworth,200
WebSciDL,56
phonedude_mln,450
